Passport,Destination,Requirement
AFG,ALB,
AFG,DZA,
AFG,AND,
AFG,AGO,
AFG,ATG,
AFG,ARG,
AFG,ARM,
AFG,AUS,
AFG,AUT,
AFG,AZE,
AFG,BHS,
AFG,BHR,
AFG,BGD,
AFG,BRB,
AFG,BLR,
AFG,BEL,
AFG,BLZ,
AFG,BEN,
AFG,BTN,
AFG,BOL,
AFG,BIH,
AFG,BWA,
AFG,BRA,
AFG,BRN,
AFG,BGR,
AFG,BFA,
AFG,BDI,
AFG,KHM,
AFG,CMR,
AFG,CAN,
AFG,CPV,
AFG,CAF,
AFG,TCD,
AFG,CHL,
AFG,CHN,
AFG,COL,
AFG,COM,
AFG,COG,
AFG,COD,
AFG,CRI,
AFG,CIV,
AFG,HRV,
AFG,CUB,
AFG,CYP,
AFG,CZE,
AFG,DNK,
AFG,DJI,
AFG,DMA,
AFG,DOM,
AFG,ECU,
AFG,EGY,
AFG,SLV,
AFG,GNQ,
AFG,ERI,
AFG,EST,
AFG,SWZ,
AFG,ETH,
AFG,FJI,
AFG,FIN,
AFG,FRA,
AFG,GAB,
AFG,GMB,
AFG,GEO,
AFG,DEU,
AFG,GHA,
AFG,GRC,
AFG,GRD,
AFG,GTM,
AFG,GIN,
AFG,GNB,
AFG,GUY,
AFG,HTI,
AFG,HND,
AFG,HKG,
AFG,HUN,
AFG,ISL,
AFG,IND,
AFG,IDN,
AFG,IRN,
AFG,IRQ,
AFG,IRL,
AFG,ISR,
AFG,ITA,
AFG,JAM,
AFG,JPN,
AFG,JOR,
AFG,KAZ,
AFG,KEN,
AFG,KIR,
AFG,XKX,
AFG,KWT,
AFG,KGZ,
AFG,LAO,
AFG,LVA,
AFG,LBN,
AFG,LSO,
AFG,LBR,
AFG,LBY,
AFG,LIE,
AFG,LTU,
AFG,LUX,
AFG,MAC,
AFG,MDG,
AFG,MWI,
AFG,MYS,
AFG,MDV,
AFG,MLI,
AFG,MLT,
AFG,MHL,
AFG,MRT,
AFG,MUS,
AFG,MEX,
AFG,FSM,
AFG,MDA,
AFG,MCO,
AFG,MNG,
AFG,MNE,
AFG,MAR,
AFG,MOZ,
AFG,MMR,
AFG,NAM,
AFG,NRU,
AFG,NPL,
AFG,NLD,
AFG,NZL,
AFG,NIC,
AFG,NER,
AFG,NGA,
AFG,PRK,
AFG,MKD,
AFG,NOR,
AFG,OMN,
AFG,PAK,
AFG,PLW,
AFG,PSE,
AFG,PAN,
AFG,PNG,
AFG,PRY,
AFG,PER,
AFG,PHL,
AFG,POL,
AFG,PRT,
AFG,QAT,
AFG,ROU,
AFG,RUS,
AFG,RWA,
AFG,KNA,
AFG,LCA,
AFG,WSM,
AFG,SMR,
AFG,STP,
AFG,SAU,
AFG,SEN,
AFG,SRB,
AFG,SYC,
AFG,SLE,
AFG,SGP,
AFG,SVK,
AFG,SVN,
AFG,SLB,
AFG,SOM,
AFG,ZAF,
AFG,KOR,
AFG,SSD,
AFG,ESP,
AFG,LKA,
AFG,VCT,
AFG,SDN,
AFG,SUR,
AFG,SWE,
AFG,CHE,
AFG,SYR,
AFG,TWN,
AFG,TJK,
AFG,TZA,
AFG,THA,
AFG,TLS,
AFG,TGO,
AFG,TON,
AFG,TTO,
AFG,TUN,
AFG,TKM,
AFG,TUV,
AFG,TUR,
AFG,UGA,
AFG,UKR,
AFG,ARE,
AFG,GBR,
AFG,USA,
AFG,URY,
AFG,UZB,
AFG,VUT,
AFG,VAT,
AFG,VEN,
AFG,VNM,
AFG,YEM,
AFG,ZMB,
AFG,ZWE,
AFG,AFG,-1
ALB,ALB,-1
ALB,DZA,
ALB,AND,
ALB,AGO,
ALB,ATG,
ALB,ARG,
ALB,ARM,
ALB,AUS,
ALB,AUT,
ALB,AZE,
ALB,BHS,
ALB,BHR,
ALB,BGD,
ALB,BRB,
ALB,BLR,
ALB,BEL,
ALB,BLZ,
ALB,BEN,
ALB,BTN,
ALB,BOL,
ALB,BIH,
ALB,BWA,
ALB,BRA,
ALB,BRN,
ALB,BGR,
ALB,BFA,
ALB,BDI,
ALB,KHM,
ALB,CMR,
ALB,CAN,
ALB,CPV,
ALB,CAF,
ALB,TCD,
ALB,CHL,
ALB,CHN,
ALB,COL,
ALB,COM,
ALB,COG,
ALB,COD,
ALB,CRI,
ALB,CIV,
ALB,HRV,
ALB,CUB,
ALB,CYP,
ALB,CZE,
ALB,DNK,
ALB,DJI,
ALB,DMA,
ALB,DOM,
ALB,ECU,
ALB,EGY,
ALB,SLV,
ALB,GNQ,
ALB,ERI,
ALB,EST,
ALB,SWZ,
ALB,ETH,
ALB,FJI,
ALB,FIN,
ALB,FRA,
ALB,GAB,
ALB,GMB,
ALB,GEO,
ALB,DEU,
ALB,GHA,
ALB,GRC,
ALB,GRD,
ALB,GTM,
ALB,GIN,
ALB,GNB,
ALB,GUY,
ALB,HTI,
ALB,HND,
ALB,HKG,
ALB,HUN,
ALB,ISL,
ALB,IND,
ALB,IDN,
ALB,IRN,
ALB,IRQ,
ALB,IRL,
ALB,ISR,
ALB,ITA,
ALB,JAM,
ALB,JPN,
ALB,JOR,
ALB,KAZ,
ALB,KEN,
ALB,KIR,
ALB,XKX,
ALB,KWT,
ALB,KGZ,
ALB,LAO,
ALB,LVA,
ALB,LBN,
ALB,LSO,
ALB,LBR,
ALB,LBY,
ALB,LIE,
ALB,LTU,
ALB,LUX,
ALB,MAC,
ALB,MDG,
ALB,MWI,
ALB,MYS,
ALB,MDV,
ALB,MLI,
ALB,MLT,
ALB,MHL,
ALB,MRT,
ALB,MUS,
ALB,MEX,
ALB,FSM,
ALB,MDA,
ALB,MCO,
ALB,MNG,
ALB,MNE,
ALB,MAR,
ALB,MOZ,
ALB,MMR,
ALB,NAM,
ALB,NRU,
ALB,NPL,
ALB,NLD,
ALB,NZL,
ALB,NIC,
ALB,NER,
ALB,NGA,
ALB,PRK,
ALB,MKD,
ALB,NOR,
ALB,OMN,
ALB,PAK,
ALB,PLW,
ALB,PSE,
ALB,PAN,
ALB,PNG,
ALB,PRY,
ALB,PER,
ALB,PHL,
ALB,POL,
ALB,PRT,
ALB,QAT,
ALB,ROU,
ALB,RUS,
ALB,RWA,
ALB,KNA,
ALB,LCA,
ALB,WSM,
ALB,SMR,
ALB,STP,
ALB,SAU,
ALB,SEN,
ALB,SRB,
ALB,SYC,
ALB,SLE,
ALB,SGP,
ALB,SVK,
ALB,SVN,
ALB,SLB,
ALB,SOM,
ALB,ZAF,
ALB,KOR,
ALB,SSD,
ALB,ESP,
ALB,LKA,
ALB,VCT,
ALB,SDN,
ALB,SUR,
ALB,SWE,
ALB,CHE,
ALB,SYR,
ALB,TWN,
ALB,TJK,
ALB,TZA,
ALB,THA,
ALB,TLS,
ALB,TGO,
ALB,TON,
ALB,TTO,
ALB,TUN,
ALB,TKM,
ALB,TUV,
ALB,TUR,
ALB,UGA,
ALB,UKR,
ALB,ARE,
ALB,GBR,
ALB,USA,
ALB,URY,
ALB,UZB,
ALB,VUT,
ALB,VAT,
ALB,VEN,
ALB,VNM,
ALB,YEM,
ALB,ZMB,
ALB,ZWE,
ALB,AFG,
DZA,ALB,
DZA,DZA,-1
DZA,AND,
DZA,AGO,
DZA,ATG,
DZA,ARG,
DZA,ARM,
DZA,AUS,
DZA,AUT,
DZA,AZE,
DZA,BHS,
DZA,BHR,
DZA,BGD,
DZA,BRB,
DZA,BLR,
DZA,BEL,
DZA,BLZ,
DZA,BEN,
DZA,BTN,
DZA,BOL,
DZA,BIH,
DZA,BWA,
DZA,BRA,
DZA,BRN,
DZA,BGR,
DZA,BFA,
DZA,BDI,
DZA,KHM,
DZA,CMR,
DZA,CAN,
DZA,CPV,
DZA,CAF,
DZA,TCD,
DZA,CHL,
DZA,CHN,
DZA,COL,
DZA,COM,
DZA,COG,
DZA,COD,
DZA,CRI,
DZA,CIV,
DZA,HRV,
DZA,CUB,
DZA,CYP,
DZA,CZE,
DZA,DNK,
DZA,DJI,
DZA,DMA,
DZA,DOM,
DZA,ECU,
DZA,EGY,
DZA,SLV,
DZA,GNQ,
DZA,ERI,
DZA,EST,
DZA,SWZ,
DZA,ETH,
DZA,FJI,
DZA,FIN,
DZA,FRA,
DZA,GAB,
DZA,GMB,
DZA,GEO,
DZA,DEU,
DZA,GHA,
DZA,GRC,
DZA,GRD,
DZA,GTM,
DZA,GIN,
DZA,GNB,
DZA,GUY,
DZA,HTI,
DZA,HND,
DZA,HKG,
DZA,HUN,
DZA,ISL,
DZA,IND,
DZA,IDN,
DZA,IRN,
DZA,IRQ,
DZA,IRL,
DZA,ISR,
DZA,ITA,
DZA,JAM,
DZA,JPN,
DZA,JOR,
DZA,KAZ,
DZA,KEN,
DZA,KIR,
DZA,XKX,
DZA,KWT,
DZA,KGZ,
DZA,LAO,
DZA,LVA,
DZA,LBN,
DZA,LSO,
DZA,LBR,
DZA,LBY,
DZA,LIE,
DZA,LTU,
DZA,LUX,
DZA,MAC,
DZA,MDG,
DZA,MWI,
DZA,MYS,
DZA,MDV,
DZA,MLI,
DZA,MLT,
DZA,MHL,
DZA,MRT,
DZA,MUS,
DZA,MEX,
DZA,FSM,
DZA,MDA,
DZA,MCO,
DZA,MNG,
DZA,MNE,
DZA,MAR,
DZA,MOZ,
DZA,MMR,
DZA,NAM,
DZA,NRU,
DZA,NPL,
DZA,NLD,
DZA,NZL,
DZA,NIC,
DZA,NER,
DZA,NGA,
DZA,PRK,
DZA,MKD,
DZA,NOR,
DZA,OMN,
DZA,PAK,
DZA,PLW,
DZA,PSE,
DZA,PAN,
DZA,PNG,
DZA,PRY,
DZA,PER,
DZA,PHL,
DZA,POL,
DZA,PRT,
DZA,QAT,
DZA,ROU,
DZA,RUS,
DZA,RWA,
DZA,KNA,
DZA,LCA,
DZA,WSM,
DZA,SMR,
DZA,STP,
DZA,SAU,
DZA,SEN,
DZA,SRB,
DZA,SYC,
DZA,SLE,
DZA,SGP,
DZA,SVK,
DZA,SVN,
DZA,SLB,
DZA,SOM,
DZA,ZAF,
DZA,KOR,
DZA,SSD,
DZA,ESP,
DZA,LKA,
DZA,VCT,
DZA,SDN,
DZA,SUR,
DZA,SWE,
DZA,CHE,
DZA,SYR,
DZA,TWN,
DZA,TJK,
DZA,TZA,
DZA,THA,
DZA,TLS,
DZA,TGO,
DZA,TON,
DZA,TTO,
DZA,TUN,
DZA,TKM,
DZA,TUV,
DZA,TUR,
DZA,UGA,
DZA,UKR,
DZA,ARE,
DZA,GBR,
DZA,USA,
DZA,URY,
DZA,UZB,
DZA,VUT,
DZA,VAT,
DZA,VEN,
DZA,VNM,
DZA,YEM,
DZA,ZMB,
DZA,ZWE,
DZA,AFG,
AND,ALB,
AND,DZA,
AND,AND,-1
AND,AGO,
AND,ATG,
AND,ARG,
AND,ARM,
AND,AUS,
AND,AUT,
AND,AZE,
AND,BHS,
AND,BHR,
AND,BGD,
AND,BRB,
AND,BLR,
AND,BEL,
AND,BLZ,
AND,BEN,
AND,BTN,
AND,BOL,
AND,BIH,
AND,BWA,
AND,BRA,
AND,BRN,
AND,BGR,
AND,BFA,
AND,BDI,
AND,KHM,
AND,CMR,
AND,CAN,
AND,CPV,
AND,CAF,
AND,TCD,
AND,CHL,
AND,CHN,
AND,COL,
AND,COM,
AND,COG,
AND,COD,
AND,CRI,
AND,CIV,
AND,HRV,
AND,CUB,
AND,CYP,
AND,CZE,
AND,DNK,
AND,DJI,
AND,DMA,
AND,DOM,
AND,ECU,
AND,EGY,
AND,SLV,
AND,GNQ,
AND,ERI,
AND,EST,
AND,SWZ,
AND,ETH,
AND,FJI,
AND,FIN,
AND,FRA,
AND,GAB,
AND,GMB,
AND,GEO,
AND,DEU,
AND,GHA,
AND,GRC,
AND,GRD,
AND,GTM,
AND,GIN,
AND,GNB,
AND,GUY,
AND,HTI,
AND,HND,
AND,HKG,
AND,HUN,
AND,ISL,
AND,IND,
AND,IDN,
AND,IRN,
AND,IRQ,
AND,IRL,
AND,ISR,
AND,ITA,
AND,JAM,
AND,JPN,
AND,JOR,
AND,KAZ,
AND,KEN,
AND,KIR,
AND,XKX,
AND,KWT,
AND,KGZ,
AND,LAO,
AND,LVA,
AND,LBN,
AND,LSO,
AND,LBR,
AND,LBY,
AND,LIE,
AND,LTU,
AND,LUX,
AND,MAC,
AND,MDG,
AND,MWI,
AND,MYS,
AND,MDV,
AND,MLI,
AND,MLT,
AND,MHL,
AND,MRT,
AND,MUS,
AND,MEX,
AND,FSM,
AND,MDA,
AND,MCO,
AND,MNG,
AND,MNE,
AND,MAR,
AND,MOZ,
AND,MMR,
AND,NAM,
AND,NRU,
AND,NPL,
AND,NLD,
AND,NZL,
AND,NIC,
AND,NER,
AND,NGA,
AND,PRK,
AND,MKD,
AND,NOR,
AND,OMN,
AND,PAK,
AND,PLW,
AND,PSE,
AND,PAN,
AND,PNG,
AND,PRY,
AND,PER,
AND,PHL,
AND,POL,
AND,PRT,
AND,QAT,
AND,ROU,
AND,RUS,
AND,RWA,
AND,KNA,
AND,LCA,
AND,WSM,
AND,SMR,
AND,STP,
AND,SAU,
AND,SEN,
AND,SRB,
AND,SYC,
AND,SLE,
AND,SGP,
AND,SVK,
AND,SVN,
AND,SLB,
AND,SOM,
AND,ZAF,
AND,KOR,
AND,SSD,
AND,ESP,
AND,LKA,
AND,VCT,
AND,SDN,
AND,SUR,
AND,SWE,
AND,CHE,
AND,SYR,
AND,TWN,
AND,TJK,
AND,TZA,
AND,THA,
AND,TLS,
AND,TGO,
AND,TON,
AND,TTO,
AND,TUN,
AND,TKM,
AND,TUV,
AND,TUR,
AND,UGA,
AND,UKR,
AND,ARE,
AND,GBR,
AND,USA,
AND,URY,
AND,UZB,
AND,VUT,
AND,VAT,
AND,VEN,
AND,VNM,
AND,YEM,
AND,ZMB,
AND,ZWE,
AND,AFG,
AGO,ALB,
AGO,DZA,
AGO,AND,
AGO,AGO,-1
AGO,ATG,
AGO,ARG,
AGO,ARM,
AGO,AUS,
AGO,AUT,
AGO,AZE,
AGO,BHS,
AGO,BHR,
AGO,BGD,
AGO,BRB,
AGO,BLR,
AGO,BEL,
AGO,BLZ,
AGO,BEN,
AGO,BTN,
AGO,BOL,
AGO,BIH,
AGO,BWA,
AGO,BRA,
AGO,BRN,
AGO,BGR,
AGO,BFA,
AGO,BDI,
AGO,KHM,
AGO,CMR,
AGO,CAN,
AGO,CPV,
AGO,CAF,
AGO,TCD,
AGO,CHL,
AGO,CHN,
AGO,COL,
AGO,COM,
AGO,COG,
AGO,COD,
AGO,CRI,
AGO,CIV,
AGO,HRV,
AGO,CUB,
AGO,CYP,
AGO,CZE,
AGO,DNK,
AGO,DJI,
AGO,DMA,
AGO,DOM,
AGO,ECU,
AGO,EGY,
AGO,SLV,
AGO,GNQ,
AGO,ERI,
AGO,EST,
AGO,SWZ,
AGO,ETH,
AGO,FJI,
AGO,FIN,
