Passport,Destination,Requirement
AF,AL,
AF,DZ,
AF,AD,
AF,AO,
AF,AG,
AF,AR,
AF,AM,
AF,AU,
AF,AT,
AF,AZ,
AF,BS,
AF,BH,
AF,BD,
AF,BB,
AF,BY,
AF,BE,
AF,BZ,
AF,BJ,
AF,BT,
AF,BO,
AF,BA,
AF,BW,
AF,BR,
AF,BN,
AF,BG,
AF,BF,
AF,BI,
AF,KH,
AF,CM,
AF,CA,
AF,CV,
AF,CF,
AF,TD,
AF,CL,
AF,CN,
AF,CO,
AF,KM,
AF,CG,
AF,CD,
AF,CR,
AF,CI,
AF,HR,
AF,CU,
AF,CY,
AF,CZ,
AF,DK,
AF,DJ,
AF,DM,
AF,DO,
AF,EC,
AF,EG,
AF,SV,
AF,GQ,
AF,ER,
AF,EE,
AF,SZ,
AF,ET,
AF,FJ,
AF,FI,
AF,FR,
AF,GA,
AF,GM,
AF,GE,
AF,DE,
AF,GH,
AF,GR,
AF,GD,
AF,GT,
AF,GN,
AF,GW,
AF,GY,
AF,HT,
AF,HN,
AF,HK,
AF,HU,
AF,IS,
AF,IN,
AF,ID,
AF,IR,
AF,IQ,
AF,IE,
AF,IL,
AF,IT,
AF,JM,
AF,JP,
AF,JO,
AF,KZ,
AF,KE,
AF,KI,
AF,XK,
AF,KW,
AF,KG,
AF,LA,
AF,LV,
AF,LB,
AF,LS,
AF,LR,
AF,LY,
AF,LI,
AF,LT,
AF,LU,
AF,MO,
AF,MG,
AF,MW,
AF,MY,
AF,MV,
AF,ML,
AF,MT,
AF,MH,
AF,MR,
AF,MU,
AF,MX,
AF,FM,
AF,MD,
AF,MC,
AF,MN,
AF,ME,
AF,MA,
AF,MZ,
AF,MM,
AF,NA,
AF,NR,
AF,NP,
AF,NL,
AF,NZ,
AF,NI,
AF,NE,
AF,NG,
AF,KP,
AF,MK,
AF,NO,
AF,OM,
AF,PK,
AF,PW,
AF,PS,
AF,PA,
AF,PG,
AF,PY,
AF,PE,
AF,PH,
AF,PL,
AF,PT,
AF,QA,
AF,RO,
AF,RU,
AF,RW,
AF,KN,
AF,LC,
AF,WS,
AF,SM,
AF,ST,
AF,SA,
AF,SN,
AF,RS,
AF,SC,
AF,SL,
AF,SG,
AF,SK,
AF,SI,
AF,SB,
AF,SO,
AF,ZA,
AF,KR,
AF,SS,
AF,ES,
AF,LK,
AF,VC,
AF,SD,
AF,SR,
AF,SE,
AF,CH,
AF,SY,
AF,TW,
AF,TJ,
AF,TZ,
AF,TH,
AF,TL,
AF,TG,
AF,TO,
AF,TT,
AF,TN,
AF,TM,
AF,TV,
AF,TR,
AF,UG,
AF,UA,
AF,AE,
AF,GB,
AF,US,
AF,UY,
AF,UZ,
AF,VU,
AF,VA,
AF,VE,
AF,VN,
AF,YE,
AF,ZM,
AF,ZW,
AF,AF,-1
AL,AL,-1
AL,DZ,
AL,AD,
AL,AO,
AL,AG,
AL,AR,
AL,AM,
AL,AU,
AL,AT,
AL,AZ,
AL,BS,
AL,BH,
AL,BD,
AL,BB,
AL,BY,
AL,BE,
AL,BZ,
AL,BJ,
AL,BT,
AL,BO,
AL,BA,
AL,BW,
AL,BR,
AL,BN,
AL,BG,
AL,BF,
AL,BI,
AL,KH,
AL,CM,
AL,CA,
AL,CV,
AL,CF,
AL,TD,
AL,CL,
AL,CN,
AL,CO,
AL,KM,
AL,CG,
AL,CD,
AL,CR,
AL,CI,
AL,HR,
AL,CU,
AL,CY,
AL,CZ,
AL,DK,
AL,DJ,
AL,DM,
AL,DO,
AL,EC,
AL,EG,
AL,SV,
AL,GQ,
AL,ER,
AL,EE,
AL,SZ,
AL,ET,
AL,FJ,
AL,FI,
AL,FR,
AL,GA,
AL,GM,
AL,GE,
AL,DE,
AL,GH,
AL,GR,
AL,GD,
AL,GT,
AL,GN,
AL,GW,
AL,GY,
AL,HT,
AL,HN,
AL,HK,
AL,HU,
AL,IS,
AL,IN,
AL,ID,
AL,IR,
AL,IQ,
AL,IE,
AL,IL,
AL,IT,
AL,JM,
AL,JP,
AL,JO,
AL,KZ,
AL,KE,
AL,KI,
AL,XK,
AL,KW,
AL,KG,
AL,LA,
AL,LV,
AL,LB,
AL,LS,
AL,LR,
AL,LY,
AL,LI,
AL,LT,
AL,LU,
AL,MO,
AL,MG,
AL,MW,
AL,MY,
AL,MV,
AL,ML,
AL,MT,
AL,MH,
AL,MR,
AL,MU,
AL,MX,
AL,FM,
AL,MD,
AL,MC,
AL,MN,
AL,ME,
AL,MA,
AL,MZ,
AL,MM,
AL,NA,
AL,NR,
AL,NP,
AL,NL,
AL,NZ,
AL,NI,
AL,NE,
AL,NG,
AL,KP,
AL,MK,
AL,NO,
AL,OM,
AL,PK,
AL,PW,
AL,PS,
AL,PA,
AL,PG,
AL,PY,
AL,PE,
AL,PH,
AL,PL,
AL,PT,
AL,QA,
AL,RO,
AL,RU,
AL,RW,
AL,KN,
AL,LC,
AL,WS,
AL,SM,
AL,ST,
AL,SA,
AL,SN,
AL,RS,
AL,SC,
AL,SL,
AL,SG,
AL,SK,
AL,SI,
AL,SB,
AL,SO,
AL,ZA,
AL,KR,
AL,SS,
AL,ES,
AL,LK,
AL,VC,
AL,SD,
AL,SR,
AL,SE,
AL,CH,
AL,SY,
AL,TW,
AL,TJ,
AL,TZ,
AL,TH,
AL,TL,
AL,TG,
AL,TO,
AL,TT,
AL,TN,
AL,TM,
AL,TV,
AL,TR,
AL,UG,
AL,UA,
AL,AE,
AL,GB,
AL,US,
AL,UY,
AL,UZ,
AL,VU,
AL,VA,
AL,VE,
AL,VN,
AL,YE,
AL,ZM,
AL,ZW,
AL,AF,
DZ,AL,
DZ,DZ,-1
DZ,AD,
DZ,AO,
DZ,AG,
DZ,AR,
DZ,AM,
DZ,AU,
DZ,AT,
DZ,AZ,
DZ,BS,
DZ,BH,
DZ,BD,
DZ,BB,
DZ,BY,
DZ,BE,
DZ,BZ,
DZ,BJ,
DZ,BT,
DZ,BO,
DZ,BA,
DZ,BW,
DZ,BR,
DZ,BN,
DZ,BG,
DZ,BF,
DZ,BI,
DZ,KH,
DZ,CM,
DZ,CA,
DZ,CV,
DZ,CF,
DZ,TD,
DZ,CL,
DZ,CN,
DZ,CO,
DZ,KM,
DZ,CG,
DZ,CD,
DZ,CR,
DZ,CI,
DZ,HR,
DZ,CU,
DZ,CY,
DZ,CZ,
DZ,DK,
DZ,DJ,
DZ,DM,
DZ,DO,
DZ,EC,
DZ,EG,
DZ,SV,
DZ,GQ,
DZ,ER,
DZ,EE,
DZ,SZ,
DZ,ET,
DZ,FJ,
DZ,FI,
DZ,FR,
DZ,GA,
DZ,GM,
DZ,GE,
DZ,DE,
DZ,GH,
DZ,GR,
DZ,GD,
DZ,GT,
DZ,GN,
DZ,GW,
DZ,GY,
DZ,HT,
DZ,HN,
DZ,HK,
DZ,HU,
DZ,IS,
DZ,IN,
DZ,ID,
DZ,IR,
DZ,IQ,
DZ,IE,
DZ,IL,
DZ,IT,
DZ,JM,
DZ,JP,
DZ,JO,
DZ,KZ,
DZ,KE,
DZ,KI,
DZ,XK,
DZ,KW,
DZ,KG,
DZ,LA,
DZ,LV,
DZ,LB,
DZ,LS,
DZ,LR,
DZ,LY,
DZ,LI,
DZ,LT,
DZ,LU,
DZ,MO,
DZ,MG,
DZ,MW,
DZ,MY,
DZ,MV,
DZ,ML,
DZ,MT,
DZ,MH,
DZ,MR,
DZ,MU,
DZ,MX,
DZ,FM,
DZ,MD,
DZ,MC,
DZ,MN,
DZ,ME,
DZ,MA,
DZ,MZ,
DZ,MM,
DZ,NA,
DZ,NR,
DZ,NP,
DZ,NL,
DZ,NZ,
DZ,NI,
DZ,NE,
DZ,NG,
DZ,KP,
DZ,MK,
DZ,NO,
DZ,OM,
DZ,PK,
DZ,PW,
DZ,PS,
DZ,PA,
DZ,PG,
DZ,PY,
DZ,PE,
DZ,PH,
DZ,PL,
DZ,PT,
DZ,QA,
DZ,RO,
DZ,RU,
DZ,RW,
DZ,KN,
